Example flight number,Flight number used for lookup,Lookup status,Number of legs,First leg departure airport IATA,Last leg arrival airport IATA,Distance in kilometers
AY487,AY487,OK,1,HEL,KAO,666.72
W61340,W61340,OK,1,BRI,WAW,1266.77
AF1147,AF1147,OK,1,WAW,CDG,1342.7
FR4617,FR4617,OK,1,GDN,ARN,587.08
LO3922,LO3922,OK,1,KRK,WAW,246.32
LO3922,LO3922,OK,1,KRK,WAW,246.32
FR6392,FR6392,OK,1,PFO,KTW,2061.28
OS236,OS236,OK,1,BER,VIE,520.41
FR2013,FR2013,OK,1,STN,PRG,1000.08
WF622,WF622,OK,1,BGO,TOS,1220.47
AF1062,AF1062,OK,1,CDG,ARN,1539.01
SK0020,SK0020,FAIL,0,,,0
FR6257,FR6257,OK,1,ARN,KRK,1072.31
W61002,W61002,OK,1,LTN,KTW,1361.22
W61381,W61381,OK,1,WAW,CRL,1161.2
W61072,W61072,OK,1,EIN,KTW,964.89
W61540,W61540,OK,1,KEF,WAW,2805.78
W61332,W61332,OK,1,FUE,WAW,3894.76
DY1784,DY1784,OK,1,OSL,FNC,3672.52
BLX730,BLX730,OK,1,HKT,ARN,8693.29
W61312,W61312,OK,1,LPL,WAW,1601.98
WF0532,WF0532,FAIL,0,,,0
DK2582,DK2582,OK,1,ARN,PUJ,8030.27
W61340,W61340,OK,1,BRI,WAW,1266.77
W61311,W61311,OK,1,WAW,LPL,1601.98
W61340,W61340,OK,1,BRI,WAW,1266.77
8478,8478,FAIL,0,,,0
W61598,W61598,OK,1,RAK,WAW,3276.19
SK2112,SK2112,OK,1,MMX,ARN,531.52
W61598,W61598,OK,1,RAK,WAW,3276.19
W61382,W61382,OK,1,CRL,WAW,1161.2
SEQNO 068,SEQNO068,FAIL,0,,,0
LO3986,LO3986,OK,1,IEG,WAW,351.88
FR239,FR239,OK,1,CAG,MXP,709.32
FR1141,FR1141,OK,1,STN,WRO,1153.8
FD9CVP,FD9,OK,1,DAD,CNX,1026.01
FR6151,FR6151,OK,1,GOT,PRG,850.07
5042,5042,FAIL,0,,,0
W61354,W61354,OK,1,ORY,WAW,1368.63
FR9276,FR9276,OK,1,EIN,STN,357.44
W61540,W61540,OK,1,KEF,WAW,2805.78
W65042,W65042,OK,1,BGO,KRK,1459.38
ET879,ET879,OK,1,ADD,SEZ,2396.49
FR7855,FR7855,OK,1,DTM,PMI,1383.44
FR7603,FR7603,OK,1,ARN,BUD,1361.22
FR3278,FR3278,OK,1,TRF,GDN,731.54
FR7931,FR7931,OK,1,PSA,KRK,1005.64
WF0784,WF0784,FAIL,0,,,0
W61382,W61382,OK,1,CRL,WAW,1161.2
SN2641,SN2641,OK,1,BRU,MUC,596.34
W65042,W65042,OK,1,BGO,KRK,1459.38
W65041,W65041,OK,1,KRK,BGO,1459.38
AC883,AC883,OK,1,ZRH,YVR,8309.92
BA570,BA570,OK,1,LHR,LIN,981.56
BLX371,BLX371,OK,1,OSL,HKT,9074.8
AY5526,AY5526,FAIL,0,,,0
AY5526,AY5526,FAIL,0,,,0
W1276,W1276,FAIL,0,,,0
FR2025,FR2025,OK,1,PMO,WRO,1468.64
FR5892,FR5892,OK,1,KRK,EIN,1024.16
SK171,SK171,OK,1,ARN,GOT,394.48
DK1555,DK1555,OK,1,LPA,OSL,4105.88
D84035,D84035,OK,1,ARN,LLA,688.94
LH805,LH805,OK,1,ARN,FRA,1224.17
V5WU7V,V5WU7V,FAIL,0,,,0
KL1556,KL1556,OK,1,TRN,AMS,818.58
W61304,W61304,OK,1,LTN,WAW,1455.67
FR8405,FR8405,OK,1,STN,WRO,1153.8
SK0105,SK0105,FAIL,0,,,0
W61682,W61682,OK,1,BGY,GDN,1150.09
TVP7313,TVP7313,OK,1,FUE,KTW,3689.18
VY3006 VY1266,VY3006,OK,1,BCN,LPA,2174.25
"LH1829, LH1624",LH1829,OK,1,BIO,MUC,1266.77
TK1882,TK1882,OK,1,SKG,IST,492.63
W65034,W65034,OK,1,OSL,KRK,1250.1
BA0781,BA0781,FAIL,0,,,0
TP1908,TP1908,OK,1,FAO,LIS,222.24
FR5173,FR5173,OK,1,BLL,STN,724.13
W65004,W65004,OK,1,LTN,KRK,1420.48
W65033,W65033,OK,1,KRK,OSL,1250.1
